Name,URL,Indentation,Semicolons,Style,Lint,Skip
lodash,https://www.npmjs.org/package/lodash,2,yes,,jscs,
request,https://www.npmjs.org/package/request,2,no,,eslint,
async,https://www.npmjs.org/package/async,2,no,,eslint,
underscore,https://www.npmjs.org/package/underscore,2,yes,,eslint,
chalk,https://www.npmjs.org/package/chalk,tab,yes,xo,xo,
express,https://www.npmjs.org/package/express,2,yes,,,
commander,https://www.npmjs.org/package/commander,2,yes,,,
debug,https://www.npmjs.org/package/debug,2,yes,eslint:recommended,eslint,
bluebird,https://www.npmjs.org/package/bluebird,4,yes,,jshint,
mkdirp,https://www.npmjs.org/package/mkdirp,4,yes,,,
colors,https://www.npmjs.org/package/colors,4,yes,,,
moment,https://www.npmjs.org/package/moment,4,yes,,jshint;jscs,
through2,https://www.npmjs.org/package/through2,2,no,,jshint,
react,https://www.npmjs.org/package/react,2,yes,fbjs,eslint,
q,https://www.npmjs.org/package/q,4,yes,,jshint,
yeoman-generator,https://www.npmjs.org/package/yeoman-generator,2,yes,eslint:recommended,eslint,
glob,https://www.npmjs.org/package/glob,2,no,,,
minimist,https://www.npmjs.org/package/minimist,4,yes,,,
gulp-util,https://www.npmjs.org/package/gulp-util,2,yes,,jshint,
fs-extra,https://www.npmjs.org/package/fs-extra,2,no,standard,standard,
coffee-script,https://www.npmjs.org/package/coffee-script,,,,,CoffeeScript
body-parser,https://www.npmjs.org/package/body-parser,2,no,standard,eslint,
jquery,https://www.npmjs.org/package/jquery,tab,yes,jquery,eslint,
cheerio,https://www.npmjs.org/package/cheerio,2,yes,,jshint,
yargs,https://www.npmjs.org/package/yargs,2,no,standard,standard,
babel-runtime,https://www.npmjs.org/package/babel-runtime,2,yes,babel,eslint,
react-dom,https://www.npmjs.org/package/react-dom,2,yes,fbjs,eslint,
gulp,https://www.npmjs.org/package/gulp,2,yes,gulp,eslint;jscs,
optimist,https://www.npmjs.org/package/optimist,4,yes,,,
yosay,https://www.npmjs.org/package/yosay,2,yes,xo non-default,xo,
object-assign,https://www.npmjs.org/package/object-assign,tab,yes,xo,xo,
semver,https://www.npmjs.org/package/semver,2,yes,,,
node-uuid,https://www.npmjs.org/package/node-uuid,2,yes,,,
socket.io,https://www.npmjs.org/package/socket.io,2,yes,,,
winston,https://www.npmjs.org/package/winston,2,yes,,jshint,
ember-cli-babel,https://www.npmjs.org/package/ember-cli-babel,2,yes,,jshint,
rimraf,https://www.npmjs.org/package/rimraf,2,no,xo-space,eslint,
inquirer,https://www.npmjs.org/package/inquirer,2,yes,,eslint,
classnames,https://www.npmjs.org/package/classnames,tab,yes,,,
shelljs,https://www.npmjs.org/package/shelljs,2,yes,airbnb-base,eslint,
