"Timestamp","Indentation in JavaScript files?","Do you use semicolons in JavaScript?","Do you use a linter preset?","What tools do you use to validate code style?"
"2017/01/16 1:47:53 PM GMT+1","Tabs","Yes","My own","ESLint"
"2017/01/16 1:57:01 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 1:57:42 PM GMT+1","2 spaces","Yes","Standard","ESLint;JSHint"
"2017/01/16 1:58:46 PM GMT+1","4 spaces","Yes","Don’t use any","JSHint;JSCS"
"2017/01/16 2:07:29 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 2:10:03 PM GMT+1","4 spaces","No","Don’t use any","ESLint"
"2017/01/16 2:10:24 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 2:15:03 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 2:16:50 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 2:17:17 PM GMT+1","4 spaces","No","AirBnb","ESLint"
"2017/01/16 2:27:53 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 2:31:46 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 2:34:23 PM GMT+1","Tabs","Yes","xo","xo"
"2017/01/16 2:39:02 PM GMT+1","4 spaces","No","custom  linter config","ESLint"
"2017/01/16 2:44:26 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 2:46:32 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 2:51:27 PM GMT+1","2 spaces","No","Don’t use any","Standard"
"2017/01/16 2:52:13 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint;phpstorm"
"2017/01/16 2:53:33 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 2:56:23 PM GMT+1","2 spaces","Yes","Don’t use any",""
"2017/01/16 2:57:47 PM GMT+1","2 spaces","No","AirBnb","ESLint"
"2017/01/16 2:57:49 PM GMT+1","Tabs","Yes","AirBnb","ESLint;JSHint;JSCS"
"2017/01/16 2:58:24 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 2:58:29 PM GMT+1","2 spaces","Yes","AirBnb","JSCS"
"2017/01/16 2:58:39 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 2:58:47 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 2:58:52 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 2:58:53 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 2:58:59 PM GMT+1","2 spaces","Yes","Standard","JSHint"
"2017/01/16 2:59:01 PM GMT+1","Tabs","Yes","AirBnb + some custom rules","ESLint"
"2017/01/16 2:59:11 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 2:59:25 PM GMT+1","2 spaces","No","Don’t use any",""
"2017/01/16 2:59:35 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 2:59:43 PM GMT+1","4 spaces","Yes","Standard","Intellij/Webstorm"
"2017/01/16 2:59:44 PM GMT+1","4 spaces","Yes","AirBnb","ESLint;JSHint;JSCS"
"2017/01/16 2:59:45 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 2:59:58 PM GMT+1","2 spaces","Yes","eslint:recommended","ESLint"
"2017/01/16 3:00:03 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:00:19 PM GMT+1","2 spaces","Yes","Don’t use any","JSHint"
"2017/01/16 3:00:36 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:00:37 PM GMT+1","4 spaces","Yes","Standard","JSHint"
"2017/01/16 3:01:03 PM GMT+1","Tabs","No","AirBnb","ESLint"
"2017/01/16 3:01:07 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:01:16 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:01:44 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 3:01:45 PM GMT+1","4 spaces","Yes","standard + some extras","ESLint;Prettier"
"2017/01/16 3:02:02 PM GMT+1","Tabs","Yes","Don’t use any",""
"2017/01/16 3:02:09 PM GMT+1","2 spaces","Yes","devine-eslint-config","ESLint"
"2017/01/16 3:02:11 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:02:21 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:02:59 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:03:03 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:03:03 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:03:42 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:03:49 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 3:04:16 PM GMT+1","2 spaces","No","Standard","Standard"
"2017/01/16 3:04:20 PM GMT+1","4 spaces","Yes","Don’t use any","JSCS"
"2017/01/16 3:04:42 PM GMT+1","2 spaces","Yes","Standard","JSHint"
"2017/01/16 3:05:03 PM GMT+1","Tabs","Yes","custom","TSLint"
"2017/01/16 3:05:18 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 3:05:27 PM GMT+1","4 spaces","No","Don’t use any","ESLint;JSHint"
"2017/01/16 3:05:32 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:05:34 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:05:36 PM GMT+1","4 spaces","Yes","Standard","JSHint"
"2017/01/16 3:05:43 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:05:54 PM GMT+1","4 spaces","No","Don’t use any","Prettier"
"2017/01/16 3:05:59 PM GMT+1","4 spaces","Yes","Extended AirBnb","ESLint"
"2017/01/16 3:06:00 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:06:01 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:06:12 PM GMT+1","Tabs","Yes","AirBnB based, custom rules matching existing company guidelines","ESLint"
"2017/01/16 3:06:17 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:06:25 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:06:42 PM GMT+1","2 spaces","No","Don’t use any",""
"2017/01/16 3:06:53 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint;Prettier"
"2017/01/16 3:07:15 PM GMT+1","2 spaces","No","Don’t use any","Standard"
"2017/01/16 3:07:21 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:07:55 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:07:59 PM GMT+1","2 spaces","Yes","Don’t use any",""
"2017/01/16 3:08:12 PM GMT+1","2 spaces","Yes","godaddy-style","ESLint;JSCS"
"2017/01/16 3:08:14 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:08:53 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 3:08:54 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 3:09:23 PM GMT+1","Tabs","Yes","Don’t use any","ESLint"
"2017/01/16 3:09:40 PM GMT+1","Tabs","Yes","eslint-config-defaults","ESLint;JSCS"
"2017/01/16 3:11:33 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 3:11:38 PM GMT+1","4 spaces","No","Don’t use any","ESLint"
"2017/01/16 3:11:57 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:13:20 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:13:21 PM GMT+1","2 spaces","Yes","Don’t use any",""
"2017/01/16 3:13:57 PM GMT+1","4 spaces","Yes","Don’t use any",""
"2017/01/16 3:14:04 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:15:16 PM GMT+1","2 spaces","No","Standard","ESLint"
"2017/01/16 3:15:25 PM GMT+1","2 spaces","Yes","Standard","ESLint"
"2017/01/16 3:15:44 PM GMT+1","Tabs","Yes","Standard","ESLint;JSHint"
"2017/01/16 3:15:45 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:16:44 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:17:03 PM GMT+1","Tabs","Yes","AirBnb","ESLint"
"2017/01/16 3:17:03 PM GMT+1","2 spaces","No","Standard","ESLint;Standard"
"2017/01/16 3:17:06 PM GMT+1","2 spaces","Yes","Facebook style","ESLint"
"2017/01/16 3:17:07 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:17:08 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint;JSCS;Prettier"
"2017/01/16 3:17:10 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:17:18 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:17:19 PM GMT+1","4 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:17:20 PM GMT+1","2 spaces","Yes","Don’t use any","ESLint"
"2017/01/16 3:17:27 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:17:31 PM GMT+1","2 spaces","Yes","Don’t use any","Standard"
"2017/01/16 3:17:35 PM GMT+1","Tabs","Yes","xo","xo"
"2017/01/16 3:17:36 PM GMT+1","4 spaces","Yes","Standard","ESLint"
"2017/01/16 3:17:36 PM GMT+1","Tabs","Yes","Standard","ESLint"
"2017/01/16 3:17:45 PM GMT+1","2 spaces","No","Don’t use any","ESLint"
"2017/01/16 3:17:51 PM GMT+1","2 spaces","Yes","Don’t use any",""
"2017/01/16 3:17:52 PM GMT+1","2 spaces","Yes","AirBnb","ESLint;Prettier"
"2017/01/16 3:17:57 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:18:00 PM GMT+1","Tabs","No","My Own","ESLint"
"2017/01/16 3:18:04 PM GMT+1","4 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:18:19 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:18:21 PM GMT+1","2 spaces","Yes","eslint:recommended","ESLint"
"2017/01/16 3:18:26 PM GMT+1","2 spaces","Yes","AirBnb","ESLint"
"2017/01/16 3:18:33 PM GMT+1","2 spaces","Yes","Don’t use any","JSHint"
"2017/01/16 3:18:35 PM GMT+1","2 spaces","Yes","custom","ESLint"
